year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	GP	GS	App	GS	ERA	IP	H	R	ER	BB	SO	SHO	BF	OppAB	2B	3B	HR	WP	Balk	HBP	IBB	IR	IR-S	SH	SF	Pitches	GO	FO	W	L	SV	KC
2015	12080	31	Arkansas	-	Totals	-	-	-	-	 	 	4.45	388.0	381	220	192	208	339	3	1,749	1,445	48	4	27	34	6	58	5	 	 	20	17	 	443	300	 	 	 	96
2015	12080	31	Arkansas	-	Opponent Totals	-	-	-	-	 	 	5.86	373.1	435	276	243	199	281	3	1,752	1,477	76	15	38	36	5	39	5	 	 	15	20	 	392	374	 	 	 	73
2015	12080	30	Arkansas St.	-	Totals	-	-	-	-	 	 	3.98	366.1	338	187	162	169	322	1	1,603	1,356	56	2	27	16	11	28	7	 	 	42	7	 	347	366	 	 	 	94
2015	12080	30	Arkansas St.	-	Opponent Totals	-	-	-	-	 	 	4.54	370.1	369	224	187	158	286	2	1,680	1,393	85	5	19	34	3	66	5	 	 	44	19	 	356	404	 	 	 	81
2015	12080	725	Army West Point	-	Totals	-	-	-	-	 	 	4.28	346.2	348	212	165	150	309	3	1,557	1,309	57	13	15	41	6	52	4	 	 	32	14	 	363	289	 	 	 	107
2015	12080	725	Army West Point	-	Opponent Totals	-	-	-	-	 	 	186.40	351.1	346	210	169	114	256	4	1,571	1,329	75	11	10	42	7	74	2	 	 	40	14	 	447	291	 	 	 	80
2015	12080	37	Auburn	-	Totals	-	-	-	-	 	 	3.31	397.0	376	173	146	164	354	5	1,730	1,509	71	8	17	34	1	28	7	 	 	19	10	 	396	380	 	 	 	91
2015	12080	37	Auburn	-	Opponent Totals	-	-	-	-	 	 	4.71	384.0	417	233	201	176	271	1	1,746	1,474	83	14	15	29	5	48	10	 	 	28	19	 	431	363	 	 	 	64
2015	12080	43	Austin Peay	-	Totals	-	-	-	-	 	 	5.26	364.2	374	267	213	156	296	1	1,680	1,430	76	9	39	42	2	59	4	 	 	18	17	 	364	391	 	 	 	82
2015	12080	43	Austin Peay	-	Opponent Totals	-	-	-	-	 	 	6.19	362.0	445	300	249	192	329	1	1,740	1,449	102	9	45	46	6	51	2	 	 	36	12	 	337	355	 	 	 	97
2015	12080	77	BYU	-	Totals	-	-	-	-	 	 	5.23	349.0	396	227	203	167	265	2	1,615	1,353	76	13	17	31	7	48	5	 	 	30	17	 	376	341	 	 	 	70
2015	12080	77	BYU	-	Opponent Totals	-	-	-	-	 	 	4.72	351.0	405	220	184	130	266	1	1,595	1,383	78	9	22	32	3	35	7	 	 	32	15	 	369	351	 	 	 	78
2015	12080	94	Bakersfield	-	Totals	-	-	-	-	 	 	3.33	370.1	360	167	137	145	251	5	1,598	1,389	56	14	14	39	8	28	10	 	 	26	10	 	415	372	 	 	 	82
2015	12080	94	Bakersfield	-	Opponent Totals	-	-	-	-	 	 	4.69	363.0	402	246	189	165	293	4	1,698	1,444	57	13	11	48	6	42	3	 	 	28	16	 	406	339	 	 	 	88
2015	12080	47	Ball St.	-	Totals	-	-	-	-	 	 	4.70	371.2	394	221	194	170	311	2	1,694	1,436	45	16	15	41	5	49	5	 	 	23	16	 	368	372	 	 	 	78
2015	12080	47	Ball St.	-	Opponent Totals	-	-	-	-	 	 	4.85	367.2	407	239	198	132	282	3	1,656	1,460	68	14	26	28	1	30	2	 	 	16	18	 	368	389	 	 	 	86
2015	12080	51	Baylor	-	Totals	-	-	-	-	 	 	5.07	378.1	440	241	213	160	247	2	1,761	1,522	70	11	23	39	1	37	3	 	 	27	14	 	415	417	 	 	 	52
2015	12080	51	Baylor	-	Opponent Totals	-	-	-	-	 	 	3.39	379.2	370	172	143	127	322	3	1,626	1,440	69	11	6	35	2	25	5	 	 	18	16	 	378	380	 	 	 	96
2015	12080	14927	Belmont	-	Totals	-	-	-	-	 	 	5.00	369.0	427	263	205	120	344	1	1,704	1,492	81	11	40	43	6	50	5	 	 	23	19	 	388	317	 	 	 	111
2015	12080	14927	Belmont	-	Opponent Totals	-	-	-	-	 	 	297.32	366.2	427	334	282	204	269	 	1,774	1,455	105	13	56	46	6	69	3	 	 	16	27	 	361	406	 	 	 	79
2015	12080	61	Bethune-Cookman	-	Totals	-	-	-	-	 	 	5.69	416.1	462	321	263	234	302	1	1,985	1,616	72	16	20	44	5	68	1	 	 	46	21	 	424	438	 	 	 	86
2015	12080	61	Bethune-Cookman	-	Opponent Totals	-	-	-	-	 	 	3.29	427.1	422	222	156	157	326	7	1,907	1,631	73	9	9	29	2	60	2	 	 	37	22	 	510	369	 	 	 	103
2015	12080	62	Binghamton	-	Totals	-	-	-	-	 	 	5.41	254.2	290	189	153	109	152	1	1,189	1,014	63	17	12	16	3	43	6	 	 	11	12	 	287	281	 	 	 	61
2015	12080	62	Binghamton	-	Opponent Totals	-	-	-	-	 	 	5.05	263.2	281	183	148	114	205	3	1,215	1,034	60	14	12	29	 	35	1	 	 	24	8	 	282	265	 	 	 	70
2015	12080	67	Boston College	-	Totals	-	-	-	-	 	 	4.45	378.0	365	218	187	152	345	4	1,652	1,420	90	9	26	31	2	44	3	 	 	23	13	 	361	353	 	 	 	102
2015	12080	67	Boston College	-	Opponent Totals	-	-	-	-	 	 	4.31	380.1	377	217	182	192	310	4	1,701	1,457	69	8	25	57	4	20	10	 	 	21	11	 	411	357	 	 	 	101
2015	12080	71	Bowling Green	-	Totals	-	-	-	-	 	 	4.60	326.2	342	213	167	120	182	2	1,466	1,272	60	11	23	35	2	40	4	 	 	21	13	 	355	379	 	 	 	65
2015	12080	71	Bowling Green	-	Opponent Totals	-	-	-	-	 	 	4.12	334.1	346	214	153	126	230	1	1,470	1,256	55	7	16	33	6	23	3	 	 	49	16	 	393	305	 	 	 	80
2015	12080	72	Bradley	-	Totals	-	-	-	-	 	 	4.09	343.0	316	179	156	127	290	8	1,483	1,288	67	10	23	37	4	36	 	 	 	15	17	 	308	381	 	 	 	83
2015	12080	72	Bradley	-	Opponent Totals	-	-	-	-	 	 	4.88	337.1	340	228	183	162	312	1	1,561	1,268	74	12	30	30	7	57	4	 	 	48	26	 	329	320	 	 	 	113
2015	12080	80	Brown	-	Totals	-	-	-	-	 	 	7.14	310.0	414	314	246	189	219	 	1,588	1,295	79	8	28	56	4	64	 	 	 	17	22	 	341	316	 	 	 	70
2015	12080	80	Brown	-	Opponent Totals	-	-	-	-	 	 	4.10	327.0	347	185	149	132	257	4	1,465	1,284	79	7	25	25	3	28	2	 	 	11	10	 	337	336	 	 	 	84
2015	12080	81	Bryant	-	Totals	-	-	-	-	 	 	4.84	288.1	302	200	155	145	215	5	1,332	1,119	58	5	14	43	8	33	2	 	 	20	14	 	297	299	 	 	 	81
2015	12080	81	Bryant	-	Opponent Totals	-	-	-	-	 	 	6.18	294.0	340	239	202	143	240	 	1,385	1,175	72	18	29	35	4	38	4	 	 	12	17	 	297	300	 	 	 	61
2015	12080	83	Bucknell	-	Totals	-	-	-	-	 	 	3.37	393.0	392	215	147	125	291	1	1,745	1,503	56	7	10	45	2	60	1	 	 	38	17	 	510	323	 	 	 	97
2015	12080	83	Bucknell	-	Opponent Totals	-	-	-	-	 	 	4.45	386.1	400	224	191	163	273	3	1,743	1,507	77	9	14	29	1	42	10	 	 	14	17	 	448	378	 	 	 	98
2015	12080	86	Buffalo	-	Totals	-	-	-	-	 	 	5.32	306.0	315	233	181	159	276	1	1,423	1,186	50	18	18	29	7	47	 	 	 	12	19	 	286	302	 	 	 	77
2015	12080	86	Buffalo	-	Opponent Totals	-	-	-	-	 	 	3.77	320.0	294	165	134	132	331	2	1,417	1,195	45	9	13	24	 	57	2	 	 	18	15	 	311	262	 	 	 	105
2015	12080	87	Butler	-	Totals	-	-	-	-	 	 	4.96	364.2	427	236	201	133	253	5	1,660	1,431	82	5	21	22	7	46	2	 	 	38	12	 	406	368	 	 	 	80
2015	12080	87	Butler	-	Opponent Totals	-	-	-	-	 	 	4.17	373.1	395	217	173	146	247	2	1,664	1,432	79	6	14	39	2	37	3	 	 	35	14	 	454	346	 	 	 	88
2015	12080	101	CSUN	-	Totals	-	-	-	-	 	 	2.58	370.0	315	140	106	121	335	5	1,541	1,362	57	9	17	28	3	19	6	 	 	32	7	 	426	289	 	 	 	98
2015	12080	101	CSUN	-	Opponent Totals	-	-	-	-	 	 	3.86	361.0	361	193	155	118	285	2	1,581	1,353	55	8	16	32	6	40	5	 	 	54	16	 	404	338	 	 	 	64
2015	12080	90	Cal Poly	-	Totals	-	-	-	-	 	 	4.37	354.0	372	212	172	159	293	1	1,590	1,351	50	18	8	35	3	23	3	 	 	38	18	 	374	340	 	 	 	83
2015	12080	90	Cal Poly	-	Opponent Totals	-	-	-	-	 	 	4.32	354.0	383	213	170	142	274	5	1,609	1,401	59	18	21	35	8	24	10	 	 	24	18	 	362	387	 	 	 	68
2015	12080	97	Cal St. Fullerton	-	Totals	-	-	-	-	 	 	3.38	372.2	383	176	140	74	346	4	1,590	1,452	66	14	19	29	1	30	3	 	 	25	8	 	360	350	 	 	 	110
2015	12080	97	Cal St. Fullerton	-	Opponent Totals	-	-	-	-	 	 	4.02	372.0	358	196	166	163	333	3	1,672	1,381	56	16	14	46	5	65	3	 	 	44	19	 	414	312	 	 	 	113
2015	12080	107	California	-	Totals	-	-	-	-	 	 	2.89	336.0	301	142	108	96	253	2	1,423	1,249	41	3	11	39	4	38	3	 	 	28	12	 	392	304	 	 	 	79
2015	12080	107	California	-	Opponent Totals	-	-	-	-	 	 	4.97	327.2	347	220	181	133	254	2	1,482	1,269	59	7	34	37	4	36	6	 	 	28	16	 	341	337	 	 	 	71
2015	12080	115	Campbell	-	Totals	-	-	-	-	 	 	3.21	373.0	389	189	133	106	294	2	1,636	1,476	70	12	17	28	4	19	1	 	 	22	12	 	365	409	 	 	 	79
2015	12080	115	Campbell	-	Opponent Totals	-	-	-	-	 	 	4.40	362.0	412	227	177	93	217	1	1,624	1,387	61	9	24	30	6	70	 	 	 	53	21	 	401	377	 	 	 	53
2015	12080	116	Canisius	-	Totals	-	-	-	-	 	 	5.20	370.1	386	269	214	170	313	4	1,704	1,451	83	18	22	41	3	49	1	 	 	23	11	 	415	324	 	 	 	97
2015	12080	116	Canisius	-	Opponent Totals	-	-	-	-	 	 	4.88	379.2	406	284	206	203	349	1	1,798	1,487	74	15	25	40	6	61	8	 	 	21	23	 	416	308	 	 	 	136
2015	12080	1004	Central Ark.	-	Totals	-	-	-	-	 	 	3.80	336.1	351	175	142	110	213	4	1,468	1,298	45	8	16	21	3	26	6	 	 	26	7	 	383	354	 	 	 	72
2015	12080	1004	Central Ark.	-	Opponent Totals	-	-	-	-	 	 	187.72	334.0	342	211	174	176	233	1	1,538	1,264	64	10	21	35	4	44	4	 	 	39	14	 	356	352	 	 	 	85
2015	12080	127	Central Conn. St.	-	Totals	-	-	-	-	 	 	5.31	303.1	378	217	179	104	216	1	1,417	1,252	80	10	8	20	6	27	10	 	 	22	12	 	348	300	 	 	 	79
2015	12080	127	Central Conn. St.	-	Opponent Totals	-	-	-	-	 	 	3.65	308.1	295	140	125	114	233	4	1,327	1,164	54	5	9	31	3	18	2	 	 	17	14	 	380	262	 	 	 	84
2015	12080	129	Central Mich.	-	Totals	-	-	-	-	 	 	3.39	369.0	350	180	139	135	239	4	1,597	1,362	53	7	13	19	2	43	7	 	 	41	15	 	413	372	 	 	 	59
2015	12080	129	Central Mich.	-	Opponent Totals	-	-	-	-	 	 	4.59	372.2	395	263	190	192	306	 	1,763	1,440	67	15	13	47	8	55	5	 	 	46	29	 	398	365	 	 	 	81
2015	12080	48	Charleston So.	-	Totals	-	-	-	-	 	 	4.85	380.2	397	241	205	161	385	3	1,722	1,451	74	6	23	41	1	50	1	 	 	47	13	 	401	305	 	 	 	116
2015	12080	48	Charleston So.	-	Opponent Totals	-	-	-	-	 	 	3.87	378.2	417	207	163	149	273	3	1,725	1,472	62	3	10	42	5	40	4	 	 	43	21	 	482	326	 	 	 	69
2015	12080	458	Charlotte	-	Totals	-	-	-	-	 	 	5.71	295.0	362	214	187	98	208	4	1,381	1,194	61	6	28	42	6	49	1	 	 	24	14	 	312	313	 	 	 	52
2015	12080	458	Charlotte	-	Opponent Totals	-	-	-	-	 	 	3.55	294.0	284	144	116	109	215	 	1,287	1,129	54	7	10	41	1	18	3	 	 	25	6	 	351	283	 	 	 	73
2015	12080	136	Chicago St.	-	Totals	-	-	-	-	 	 	6.49	356.1	433	296	257	210	234	 	1,702	1,396	81	25	24	35	13	44	2	 	 	27	25	 	371	372	 	 	 	76
2015	12080	136	Chicago St.	-	Opponent Totals	-	-	-	-	 	 	3.92	367.0	368	195	160	135	251	2	1,620	1,402	65	7	20	20	2	35	3	 	 	32	15	 	420	368	 	 	 	84
