game_id	"	"	is_home	"	"	team_id	"	"	team_name	"	"	team_url	"	"	inning_scores	"	"	team_rhe
3258417	#	0	#	473	#	New Mexico	#	http://stats.ncaa.org/team/index/11620?org_id=473	#	[0, 2, 0, 5, 0, 0, 5, 0, 1]	#	[13, 17, 3]
3258417	#	1	#	721	#	Air Force	#	http://stats.ncaa.org/team/index/11620?org_id=721	#	[0, 4, 0, 0, 1, 0, 1, 0, 2]	#	[8, 16, 1]
3361046	#	0	#	204	#	Eastern Mich.	#	http://stats.ncaa.org/team/index/11620?org_id=204	#	[0, 1, 0, 0, 0, 0, 0, 0, 0]	#	[1, 6, 0]
3361046	#	1	#	774	#	Western Mich.	#	http://stats.ncaa.org/team/index/11620?org_id=774	#	[0, 1, 0, 3, 0, 1, 0, 0, 0]	#	[5, 9, 0]
3300456	#	0	#	590	#	Sacred Heart	#	http://stats.ncaa.org/team/index/11620?org_id=590	#	[1, 0, 0, 0, 3, 0, 1, 3, 1]	#	[9, 11, 1]
3300456	#	1	#	222	#	Fairleigh Dickinson	#	http://stats.ncaa.org/team/index/11620?org_id=222	#	[1, 3, 0, 0, 0, 0, 0, 2, 1]	#	[7, 12, 5]
3379528	#	0	#	169	#	Creighton	#	http://stats.ncaa.org/team/index/11620?org_id=169	#	[0, 1, 0, 0, 1, 0, 3, 2, 0]	#	[7, 8, 0]
3379528	#	1	#	812	#	Xavier	#	http://stats.ncaa.org/team/index/11620?org_id=812	#	[0, 0, 0, 1, 0, 0, 1, 0, 0]	#	[2, 6, 3]
3161395	#	0	#	559	#	Purdue	#	http://stats.ncaa.org/team/index/11620?org_id=559	#	[0, 0, 0, 0, 0, 0, 0, 0, 0]	#	[0, 4, 1]
3161395	#	1	#	365	#	LSU	#	http://stats.ncaa.org/team/index/11620?org_id=365	#	[0, 1, 3, 0, 0, 1, 2, 3, 0]	#	[10, 13, 1]
3017573	#	0	#	603	#	St. John's (NY)	#	http://stats.ncaa.org/team/index/11620?org_id=603	#	[0, 0, 0, 0, 0, 0, 1, 0, 1]	#	[2, 5, 0]
3017573	#	1	#	541	#	Pepperdine	#	http://stats.ncaa.org/team/index/11620?org_id=541	#	[0, 0, 0, 0, 0, 0, 0, 0, 0]	#	[0, 6, 1]
3258422	#	0	#	692	#	Tennessee Tech	#	http://stats.ncaa.org/team/index/11620?org_id=692	#	[0, 0, 1, 0, 0, 0, 0, 0, 0]	#	[1, 5, 0]
3258422	#	1	#	660	#	SIUE	#	http://stats.ncaa.org/team/index/11620?org_id=660	#	[0, 0, 0, 0, 0, 1, 0, 2, 0]	#	[3, 5, 1]
3343789	#	0	#	444	#	Morehead St.	#	http://stats.ncaa.org/team/index/11620?org_id=444	#	[0, 0, 0, 0, 0, 0, 0, 7, 1, 0, 0]	#	[8, 14, 1]
3343789	#	1	#	660	#	SIUE	#	http://stats.ncaa.org/team/index/11620?org_id=660	#	[0, 0, 0, 0, 0, 0, 0, 6, 2, 0, 1]	#	[9, 15, 1]
3228967	#	0	#	683	#	Stony Brook	#	http://stats.ncaa.org/team/index/11620?org_id=683	#	[0, 1, 0, 0, 1, 0, 0, 0, 0]	#	[2, 9, 0]
3228967	#	1	#	111	#	UC Riverside	#	http://stats.ncaa.org/team/index/11620?org_id=111	#	[0, 0, 0, 0, 0, 3, 0, 0, 0]	#	[3, 7, 1]
3361047	#	0	#	204	#	Eastern Mich.	#	http://stats.ncaa.org/team/index/11620?org_id=204	#	[0, 0, 0, 3, 0, 2, 0, 0, 1]	#	[6, 10, 2]
3361047	#	1	#	774	#	Western Mich.	#	http://stats.ncaa.org/team/index/11620?org_id=774	#	[0, 0, 0, 0, 2, 0, 0, 0, 1]	#	[3, 6, 0]
3017793	#	0	#	432	#	Mississippi Val.	#	http://stats.ncaa.org/team/index/11620?org_id=432	#	[0, 0, 0, 0, 0, 0, 0, 0, 0]	#	[0, 3, 3]
3017793	#	1	#	1045	#	Dallas Baptist	#	http://stats.ncaa.org/team/index/11620?org_id=1045	#	[1, 3, 3, 2, 1, 4, 0, 5, 0]	#	[19, 15, 0]
3379546	#	0	#	454	#	Murray St.	#	http://stats.ncaa.org/team/index/11620?org_id=454	#	[1, 0, 0, 0, 2, 1, 1, 1, 2]	#	[8, 12, 1]
3379546	#	1	#	202	#	Eastern Ky.	#	http://stats.ncaa.org/team/index/11620?org_id=202	#	[2, 1, 0, 0, 0, 0, 0, 0, 0]	#	[3, 8, 3]
3161403	#	0	#	80	#	Brown	#	http://stats.ncaa.org/team/index/11620?org_id=80	#	[0, 0, 0, 0, 0, 0, 0, 0, 0]	#	[0, 6, 2]
3161403	#	1	#	648	#	South Carolina	#	http://stats.ncaa.org/team/index/11620?org_id=648	#	[0, 0, 0, 1, 2, 1, 0, 4, 0]	#	[8, 9, 0]
