year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	GP	GS	PO	A	E	FldPct	CI	PB	SBA	CSB	IDP	TP
2015	12080	61	Bethune-Cookman	-	Opponent Totals	-	-	-	-	49	1,282	559	87	0.955	 	10	41	17	47	 
2015	12080	62	Binghamton	-	Totals	-	-	-	-	31	764	305	42	0.962	 	4	29	12	20	 
2015	12080	62	Binghamton	-	Opponent Totals	-	-	-	-	31	791	308	42	0.963	 	5	32	9	17	 
2015	12080	67	Boston College	-	Totals	-	-	-	-	43	1,134	432	44	0.973	 	9	41	17	34	 
2015	12080	67	Boston College	-	Opponent Totals	-	-	-	-	43	1,141	464	43	0.974	 	9	52	18	38	 
2015	12080	71	Bowling Green	-	Totals	-	-	-	-	38	980	395	62	0.957	 	4	29	23	25	 
2015	12080	71	Bowling Green	-	Opponent Totals	-	-	-	-	38	1,003	462	62	0.959	 	9	48	21	35	 
2015	12080	72	Bradley	-	Totals	-	-	-	-	40	1,029	328	41	0.971	 	5	35	10	29	 
2015	12080	72	Bradley	-	Opponent Totals	-	-	-	-	40	1,012	380	50	0.965	 	10	38	20	20	 
2015	12080	80	Brown	-	Totals	-	-	-	-	39	930	362	69	0.949	1	13	73	16	30	 
2015	12080	80	Brown	-	Opponent Totals	-	-	-	-	39	981	358	37	0.973	 	11	22	16	31	 
2015	12080	81	Bryant	-	Totals	-	-	-	-	35	865	366	53	0.959	1	7	47	17	26	 
2015	12080	81	Bryant	-	Opponent Totals	-	-	-	-	35	882	332	47	0.963	 	9	39	15	22	 
2015	12080	83	Bucknell	-	Totals	-	-	-	-	46	1,179	557	65	0.964	2	11	49	12	33	 
2015	12080	83	Bucknell	-	Opponent Totals	-	-	-	-	46	1,159	486	55	0.968	 	14	30	14	34	 
2015	12080	86	Buffalo	-	Totals	-	-	-	-	36	918	331	52	0.960	 	13	91	18	19	 
2015	12080	86	Buffalo	-	Opponent Totals	-	-	-	-	36	960	360	39	0.971	 	14	52	15	27	 
2015	12080	87	Butler	-	Totals	-	-	-	-	42	1,094	447	50	0.969	 	5	66	16	32	 
2015	12080	87	Butler	-	Opponent Totals	-	-	-	-	42	1,120	520	59	0.965	 	14	38	16	44	 
2015	12080	101	CSUN	-	Totals	-	-	-	-	42	1,110	485	48	0.971	 	9	26	19	30	 
2015	12080	101	CSUN	-	Opponent Totals	-	-	-	-	42	1,083	442	49	0.969	 	9	53	19	25	 
2015	12080	90	Cal Poly	-	Totals	-	-	-	-	40	1,062	449	48	0.969	1	7	24	23	23	 
2015	12080	90	Cal Poly	-	Opponent Totals	-	-	-	-	40	1,062	407	56	0.963	 	9	20	13	21	 
2015	12080	97	Cal St. Fullerton	-	Totals	-	-	-	-	42	1,118	443	59	0.964	1	10	19	16	31	 
2015	12080	97	Cal St. Fullerton	-	Opponent Totals	-	-	-	-	42	1,116	463	56	0.966	 	14	40	11	29	 
2015	12080	107	California	-	Totals	-	-	-	-	38	1,008	423	53	0.964	 	3	24	13	39	 
