year	year_id	team_id	team_name	team_url
2016	12360	26172	A&M-Corpus Chris	http://stats.ncaa.org/team/index/12360?org_id=26172
2016	12360	2	Abilene Christian	http://stats.ncaa.org/team/index/12360?org_id=2
2016	12360	721	Air Force	http://stats.ncaa.org/team/index/12360?org_id=721
2016	12360	8	Alabama	http://stats.ncaa.org/team/index/12360?org_id=8
2016	12360	6	Alabama A&M	http://stats.ncaa.org/team/index/12360?org_id=6
2016	12360	7	Alabama St.	http://stats.ncaa.org/team/index/12360?org_id=7
2016	12360	14	Albany (NY)	http://stats.ncaa.org/team/index/12360?org_id=14
2016	12360	17	Alcorn	http://stats.ncaa.org/team/index/12360?org_id=17
2016	12360	27	Appalachian St.	http://stats.ncaa.org/team/index/12360?org_id=27
2016	12360	29	Arizona	http://stats.ncaa.org/team/index/12360?org_id=29
2016	12360	28	Arizona St.	http://stats.ncaa.org/team/index/12360?org_id=28
2016	12360	2678	Ark.-Pine Bluff	http://stats.ncaa.org/team/index/12360?org_id=2678
2016	12360	31	Arkansas	http://stats.ncaa.org/team/index/12360?org_id=31
2016	12360	30	Arkansas St.	http://stats.ncaa.org/team/index/12360?org_id=30
2016	12360	725	Army West Point	http://stats.ncaa.org/team/index/12360?org_id=725
2016	12360	37	Auburn	http://stats.ncaa.org/team/index/12360?org_id=37
2016	12360	43	Austin Peay	http://stats.ncaa.org/team/index/12360?org_id=43
2016	12360	77	BYU	http://stats.ncaa.org/team/index/12360?org_id=77
2016	12360	47	Ball St.	http://stats.ncaa.org/team/index/12360?org_id=47
2016	12360	51	Baylor	http://stats.ncaa.org/team/index/12360?org_id=51
2016	12360	14927	Belmont	http://stats.ncaa.org/team/index/12360?org_id=14927
2016	12360	61	Bethune-Cookman	http://stats.ncaa.org/team/index/12360?org_id=61
2016	12360	62	Binghamton	http://stats.ncaa.org/team/index/12360?org_id=62
2016	12360	67	Boston College	http://stats.ncaa.org/team/index/12360?org_id=67
2016	12360	71	Bowling Green	http://stats.ncaa.org/team/index/12360?org_id=71
2016	12360	72	Bradley	http://stats.ncaa.org/team/index/12360?org_id=72
2016	12360	80	Brown	http://stats.ncaa.org/team/index/12360?org_id=80
2016	12360	81	Bryant	http://stats.ncaa.org/team/index/12360?org_id=81
2016	12360	83	Bucknell	http://stats.ncaa.org/team/index/12360?org_id=83
2016	12360	86	Buffalo	http://stats.ncaa.org/team/index/12360?org_id=86
2016	12360	87	Butler	http://stats.ncaa.org/team/index/12360?org_id=87
2016	12360	94	CSU Bakersfield	http://stats.ncaa.org/team/index/12360?org_id=94
2016	12360	101	CSUN	http://stats.ncaa.org/team/index/12360?org_id=101
2016	12360	90	Cal Poly	http://stats.ncaa.org/team/index/12360?org_id=90
2016	12360	97	Cal St. Fullerton	http://stats.ncaa.org/team/index/12360?org_id=97
2016	12360	107	California	http://stats.ncaa.org/team/index/12360?org_id=107
2016	12360	115	Campbell	http://stats.ncaa.org/team/index/12360?org_id=115
2016	12360	116	Canisius	http://stats.ncaa.org/team/index/12360?org_id=116
2016	12360	1004	Central Ark.	http://stats.ncaa.org/team/index/12360?org_id=1004
2016	12360	127	Central Conn. St.	http://stats.ncaa.org/team/index/12360?org_id=127
2016	12360	129	Central Mich.	http://stats.ncaa.org/team/index/12360?org_id=129
2016	12360	48	Charleston So.	http://stats.ncaa.org/team/index/12360?org_id=48
2016	12360	458	Charlotte	http://stats.ncaa.org/team/index/12360?org_id=458
2016	12360	136	Chicago St.	http://stats.ncaa.org/team/index/12360?org_id=136
2016	12360	140	Cincinnati	http://stats.ncaa.org/team/index/12360?org_id=140
2016	12360	147	Clemson	http://stats.ncaa.org/team/index/12360?org_id=147
2016	12360	149	Coastal Caro.	http://stats.ncaa.org/team/index/12360?org_id=149
2016	12360	1014	Col. of Charleston	http://stats.ncaa.org/team/index/12360?org_id=1014
2016	12360	158	Columbia	http://stats.ncaa.org/team/index/12360?org_id=158
2016	12360	165	Coppin St.	http://stats.ncaa.org/team/index/12360?org_id=165
2016	12360	167	Cornell	http://stats.ncaa.org/team/index/12360?org_id=167
2016	12360	169	Creighton	http://stats.ncaa.org/team/index/12360?org_id=169
2016	12360	1045	Dallas Baptist	http://stats.ncaa.org/team/index/12360?org_id=1045
2016	12360	172	Dartmouth	http://stats.ncaa.org/team/index/12360?org_id=172
2016	12360	173	Davidson	http://stats.ncaa.org/team/index/12360?org_id=173
2016	12360	175	Dayton	http://stats.ncaa.org/team/index/12360?org_id=175
2016	12360	180	Delaware	http://stats.ncaa.org/team/index/12360?org_id=180
2016	12360	178	Delaware St.	http://stats.ncaa.org/team/index/12360?org_id=178
2016	12360	193	Duke	http://stats.ncaa.org/team/index/12360?org_id=193
2016	12360	198	ETSU	http://stats.ncaa.org/team/index/12360?org_id=198
2016	12360	196	East Carolina	http://stats.ncaa.org/team/index/12360?org_id=196
2016	12360	201	Eastern Ill.	http://stats.ncaa.org/team/index/12360?org_id=201
2016	12360	202	Eastern Ky.	http://stats.ncaa.org/team/index/12360?org_id=202
2016	12360	204	Eastern Mich.	http://stats.ncaa.org/team/index/12360?org_id=204
2016	12360	1068	Elon	http://stats.ncaa.org/team/index/12360?org_id=1068
2016	12360	219	Evansville	http://stats.ncaa.org/team/index/12360?org_id=219
2016	12360	28755	FGCU	http://stats.ncaa.org/team/index/12360?org_id=28755
2016	12360	231	FIU	http://stats.ncaa.org/team/index/12360?org_id=231
2016	12360	220	Fairfield	http://stats.ncaa.org/team/index/12360?org_id=220
2016	12360	222	Fairleigh Dickinson	http://stats.ncaa.org/team/index/12360?org_id=222
2016	12360	229	Fla. Atlantic	http://stats.ncaa.org/team/index/12360?org_id=229
2016	12360	235	Florida	http://stats.ncaa.org/team/index/12360?org_id=235
2016	12360	228	Florida A&M	http://stats.ncaa.org/team/index/12360?org_id=228
2016	12360	234	Florida St.	http://stats.ncaa.org/team/index/12360?org_id=234
2016	12360	236	Fordham	http://stats.ncaa.org/team/index/12360?org_id=236
2016	12360	96	Fresno St.	http://stats.ncaa.org/team/index/12360?org_id=96
2016	12360	244	Furman	http://stats.ncaa.org/team/index/12360?org_id=244
2016	12360	253	Ga. Southern	http://stats.ncaa.org/team/index/12360?org_id=253
2016	12360	1092	Gardner-Webb	http://stats.ncaa.org/team/index/12360?org_id=1092
2016	12360	248	George Mason	http://stats.ncaa.org/team/index/12360?org_id=248
2016	12360	249	George Washington	http://stats.ncaa.org/team/index/12360?org_id=249
2016	12360	251	Georgetown	http://stats.ncaa.org/team/index/12360?org_id=251
2016	12360	257	Georgia	http://stats.ncaa.org/team/index/12360?org_id=257
2016	12360	254	Georgia St.	http://stats.ncaa.org/team/index/12360?org_id=254
2016	12360	255	Georgia Tech	http://stats.ncaa.org/team/index/12360?org_id=255
2016	12360	260	Gonzaga	http://stats.ncaa.org/team/index/12360?org_id=260
2016	12360	261	Grambling	http://stats.ncaa.org/team/index/12360?org_id=261
2016	12360	1104	Grand Canyon	http://stats.ncaa.org/team/index/12360?org_id=1104
2016	12360	272	Hartford	http://stats.ncaa.org/team/index/12360?org_id=272
2016	12360	275	Harvard	http://stats.ncaa.org/team/index/12360?org_id=275
2016	12360	277	Hawaii	http://stats.ncaa.org/team/index/12360?org_id=277
2016	12360	19651	High Point	http://stats.ncaa.org/team/index/12360?org_id=19651
2016	12360	283	Hofstra	http://stats.ncaa.org/team/index/12360?org_id=283
2016	12360	285	Holy Cross	http://stats.ncaa.org/team/index/12360?org_id=285
2016	12360	288	Houston	http://stats.ncaa.org/team/index/12360?org_id=288
2016	12360	287	Houston Baptist	http://stats.ncaa.org/team/index/12360?org_id=287
2016	12360	308	IPFW	http://stats.ncaa.org/team/index/12360?org_id=308
2016	12360	302	Ill.-Chicago	http://stats.ncaa.org/team/index/12360?org_id=302
2016	12360	301	Illinois	http://stats.ncaa.org/team/index/12360?org_id=301
2016	12360	299	Illinois St.	http://stats.ncaa.org/team/index/12360?org_id=299
2016	12360	2743	Incarnate Word	http://stats.ncaa.org/team/index/12360?org_id=2743
2016	12360	306	Indiana	http://stats.ncaa.org/team/index/12360?org_id=306
2016	12360	305	Indiana St.	http://stats.ncaa.org/team/index/12360?org_id=305
2016	12360	310	Iona	http://stats.ncaa.org/team/index/12360?org_id=310
2016	12360	312	Iowa	http://stats.ncaa.org/team/index/12360?org_id=312
2016	12360	314	Jackson St.	http://stats.ncaa.org/team/index/12360?org_id=314
2016	12360	316	Jacksonville	http://stats.ncaa.org/team/index/12360?org_id=316
2016	12360	315	Jacksonville St.	http://stats.ncaa.org/team/index/12360?org_id=315
2016	12360	317	James Madison	http://stats.ncaa.org/team/index/12360?org_id=317
2016	12360	328	Kansas	http://stats.ncaa.org/team/index/12360?org_id=328
2016	12360	327	Kansas St.	http://stats.ncaa.org/team/index/12360?org_id=327
2016	12360	1157	Kennesaw St.	http://stats.ncaa.org/team/index/12360?org_id=1157
2016	12360	331	Kent St.	http://stats.ncaa.org/team/index/12360?org_id=331
2016	12360	334	Kentucky	http://stats.ncaa.org/team/index/12360?org_id=334
2016	12360	361	LIU Brooklyn	http://stats.ncaa.org/team/index/12360?org_id=361
2016	12360	365	LSU	http://stats.ncaa.org/team/index/12360?org_id=365
2016	12360	340	La Salle	http://stats.ncaa.org/team/index/12360?org_id=340
2016	12360	671	La.-Lafayette	http://stats.ncaa.org/team/index/12360?org_id=671
2016	12360	498	La.-Monroe	http://stats.ncaa.org/team/index/12360?org_id=498
2016	12360	342	Lafayette	http://stats.ncaa.org/team/index/12360?org_id=342
2016	12360	346	Lamar	http://stats.ncaa.org/team/index/12360?org_id=346
2016	12360	352	Lehigh	http://stats.ncaa.org/team/index/12360?org_id=352
2016	12360	355	Liberty	http://stats.ncaa.org/team/index/12360?org_id=355
2016	12360	28600	Lipscomb	http://stats.ncaa.org/team/index/12360?org_id=28600
2016	12360	32	Little Rock	http://stats.ncaa.org/team/index/12360?org_id=32
2016	12360	99	Long Beach St.	http://stats.ncaa.org/team/index/12360?org_id=99
2016	12360	363	Longwood	http://stats.ncaa.org/team/index/12360?org_id=363
2016	12360	366	Louisiana Tech	http://stats.ncaa.org/team/index/12360?org_id=366
2016	12360	367	Louisville	http://stats.ncaa.org/team/index/12360?org_id=367
2016	12360	370	Loyola Marymount	http://stats.ncaa.org/team/index/12360?org_id=370
2016	12360	380	Maine	http://stats.ncaa.org/team/index/12360?org_id=380
2016	12360	381	Manhattan	http://stats.ncaa.org/team/index/12360?org_id=381
2016	12360	386	Marist	http://stats.ncaa.org/team/index/12360?org_id=386
2016	12360	388	Marshall	http://stats.ncaa.org/team/index/12360?org_id=388
2016	12360	392	Maryland	http://stats.ncaa.org/team/index/12360?org_id=392
2016	12360	400	Massachusetts	http://stats.ncaa.org/team/index/12360?org_id=400
2016	12360	402	McNeese St.	http://stats.ncaa.org/team/index/12360?org_id=402
2016	12360	404	Memphis	http://stats.ncaa.org/team/index/12360?org_id=404
2016	12360	406	Mercer	http://stats.ncaa.org/team/index/12360?org_id=406
2016	12360	415	Miami (FL)	http://stats.ncaa.org/team/index/12360?org_id=415
2016	12360	414	Miami (OH)	http://stats.ncaa.org/team/index/12360?org_id=414
2016	12360	418	Michigan	http://stats.ncaa.org/team/index/12360?org_id=418
2016	12360	416	Michigan St.	http://stats.ncaa.org/team/index/12360?org_id=416
