year	division	conf_id	conf_name	team_id	team_name	team_url
2015	1	881.0	Horizon	302	Ill.-Chicago	http://stats.ncaa.org/team/index/12080?org_id=302
2015	1	881.0	Horizon	797	Milwaukee	http://stats.ncaa.org/team/index/12080?org_id=797
2015	1	881.0	Horizon	514	Oakland	http://stats.ncaa.org/team/index/12080?org_id=514
2015	1	881.0	Horizon	735	Valparaiso	http://stats.ncaa.org/team/index/12080?org_id=735
2015	1	881.0	Horizon	810	Wright St.	http://stats.ncaa.org/team/index/12080?org_id=810
2015	1	881.0	Horizon	817	Youngstown St.	http://stats.ncaa.org/team/index/12080?org_id=817
2015	1	819.0	Summit League	308	IPFW	http://stats.ncaa.org/team/index/12080?org_id=308
2015	1	819.0	Summit League	493	North Dakota St.	http://stats.ncaa.org/team/index/12080?org_id=493
2015	1	819.0	Summit League	464	Omaha	http://stats.ncaa.org/team/index/12080?org_id=464
2015	1	819.0	Summit League	527	Oral Roberts	http://stats.ncaa.org/team/index/12080?org_id=527
2015	1	819.0	Summit League	649	South Dakota St.	http://stats.ncaa.org/team/index/12080?org_id=649
2015	1	819.0	Summit League	771	Western Ill.	http://stats.ncaa.org/team/index/12080?org_id=771
2015	1	875.0	Mid-American	5	Akron	http://stats.ncaa.org/team/index/12080?org_id=5
2015	1	875.0	Mid-American	47	Ball St.	http://stats.ncaa.org/team/index/12080?org_id=47
2015	1	875.0	Mid-American	71	Bowling Green	http://stats.ncaa.org/team/index/12080?org_id=71
2015	1	875.0	Mid-American	86	Buffalo	http://stats.ncaa.org/team/index/12080?org_id=86
2015	1	875.0	Mid-American	129	Central Mich.	http://stats.ncaa.org/team/index/12080?org_id=129
2015	1	875.0	Mid-American	204	Eastern Mich.	http://stats.ncaa.org/team/index/12080?org_id=204
2015	1	875.0	Mid-American	331	Kent St.	http://stats.ncaa.org/team/index/12080?org_id=331
2015	1	875.0	Mid-American	414	Miami (OH)	http://stats.ncaa.org/team/index/12080?org_id=414
