year	year_id	team_id	team_name	jersey_number	summary_type	class_year	position	GP	GS	BA	OBP	SLG	AB	R	H	2B	3B	HR	RBI	BB	HBP	SF	SH	K	DP	SB	CS	PickedOff
2015	12080	37	Auburn	-	Opponent Totals	-	-	-	-	45	0.249	0.332	0.341	1,509	173	376	71	8	""	17	154	164	28	10	19	354	34	31	13	 
2015	12080	43	Austin Peay	-	Totals	-	-	-	-	41	0.307	0.404	0.483	1,449	300	445	102	9	""	45	261	192	51	12	36	329	28	64	23	 
2015	12080	43	Austin Peay	-	Opponent Totals	-	-	-	-	41	0.262	0.354	0.409	1,430	267	374	76	9	""	39	236	156	59	17	18	296	28	48	12	 
2015	12080	77	BYU	-	Totals	-	-	-	-	40	0.293	0.365	0.410	1,383	220	405	78	9	""	22	199	130	35	15	32	266	45	25	15	 
2015	12080	77	BYU	-	Opponent Totals	-	-	-	-	40	0.293	0.385	0.406	1,353	227	396	76	13	""	17	209	167	48	17	30	265	34	31	12	 
2015	12080	94	Bakersfield	-	Totals	-	-	-	-	42	0.278	0.365	0.359	1,444	246	402	57	13	""	11	211	165	42	16	28	293	30	41	12	 
2015	12080	94	Bakersfield	-	Opponent Totals	-	-	-	-	42	0.259	0.339	0.350	1,389	167	360	56	14	""	14	148	145	28	10	26	251	42	17	18	 
2015	12080	47	Ball St.	-	Totals	-	-	-	-	42	0.279	0.347	0.398	1,460	239	407	68	14	""	26	216	132	30	18	16	282	30	41	19	 
2015	12080	47	Ball St.	-	Opponent Totals	-	-	-	-	42	0.274	0.367	0.359	1,436	221	394	45	16	""	15	204	170	49	16	23	311	34	33	17	 
2015	12080	51	Baylor	-	Totals	-	-	-	-	43	0.257	0.325	0.333	1,440	172	370	69	11	""	6	156	127	25	16	18	322	29	54	26	 
2015	12080	51	Baylor	-	Opponent Totals	-	-	-	-	43	0.289	0.368	0.395	1,522	241	440	70	11	""	23	216	160	37	14	27	247	28	25	14	 
2015	12080	14927	Belmont	-	Totals	-	-	-	-	42	0.293	0.399	0.499	1,455	334	427	105	13	""	56	308	204	69	27	16	269	37	71	15	 
2015	12080	14927	Belmont	-	Opponent Totals	-	-	-	-	42	11.863	14.559	17.926	1,492	263	427	81	11	28	40	226	120	50	19	23	344	28	51	17	 
2015	12080	61	Bethune-Cookman	-	Totals	-	-	-	-	49	0.259	0.342	0.331	1,631	222	422	73	9	""	9	186	157	60	22	37	326	47	41	17	 
2015	12080	61	Bethune-Cookman	-	Opponent Totals	-	-	-	-	49	0.286	0.394	0.387	1,616	321	462	72	16	""	20	284	234	68	21	46	302	44	59	25	 
2015	12080	62	Binghamton	-	Totals	-	-	-	-	31	0.272	0.361	0.392	1,034	183	281	60	14	""	12	165	114	35	8	24	205	17	32	9	 
