year	division	conf_id	conf_name	team_id	team_name	team_url
2013	3	-1	ALL TEAMS	750	Wartburg	http://stats.ncaa.org/team/index/11320?org_id=750
2013	3	-1	ALL TEAMS	751	Wash. & Jeff.	http://stats.ncaa.org/team/index/11320?org_id=751
2013	3	-1	ALL TEAMS	752	Wash. & Lee	http://stats.ncaa.org/team/index/11320?org_id=752
2013	3	-1	ALL TEAMS	753	Washington Col.	http://stats.ncaa.org/team/index/11320?org_id=753
2013	3	-1	ALL TEAMS	755	Washington-St. Louis	http://stats.ncaa.org/team/index/11320?org_id=755
2013	3	-1	ALL TEAMS	1434	Waynesburg	http://stats.ncaa.org/team/index/11320?org_id=1434
2013	3	-1	ALL TEAMS	759	Webster	http://stats.ncaa.org/team/index/11320?org_id=759
2013	3	-1	ALL TEAMS	762	Wentworth	http://stats.ncaa.org/team/index/11320?org_id=762
2013	3	-1	ALL TEAMS	763	Wesley	http://stats.ncaa.org/team/index/11320?org_id=763
2013	3	-1	ALL TEAMS	764	Wesleyan (CT)	http://stats.ncaa.org/team/index/11320?org_id=764
2013	3	-1	ALL TEAMS	770	Western Conn. St.	http://stats.ncaa.org/team/index/11320?org_id=770
2013	3	-1	ALL TEAMS	775	Western New Eng.	http://stats.ncaa.org/team/index/11320?org_id=775
2013	3	-1	ALL TEAMS	777	Westfield St.	http://stats.ncaa.org/team/index/11320?org_id=777
2013	3	-1	ALL TEAMS	1450	Westminster (MO)	http://stats.ncaa.org/team/index/11320?org_id=1450
2013	3	-1	ALL TEAMS	1451	Westminster (PA)	http://stats.ncaa.org/team/index/11320?org_id=1451
2013	3	-1	ALL TEAMS	778	Wheaton (IL)	http://stats.ncaa.org/team/index/11320?org_id=778
2013	3	-1	ALL TEAMS	779	Wheaton (MA)	http://stats.ncaa.org/team/index/11320?org_id=779
2013	3	-1	ALL TEAMS	780	Whitman	http://stats.ncaa.org/team/index/11320?org_id=780
2013	3	-1	ALL TEAMS	781	Whittier	http://stats.ncaa.org/team/index/11320?org_id=781
2013	3	-1	ALL TEAMS	1454	Whitworth	http://stats.ncaa.org/team/index/11320?org_id=1454
2013	3	-1	ALL TEAMS	783	Widener	http://stats.ncaa.org/team/index/11320?org_id=783
2013	3	-1	ALL TEAMS	784	Wilkes	http://stats.ncaa.org/team/index/11320?org_id=784
2013	3	-1	ALL TEAMS	785	Willamette	http://stats.ncaa.org/team/index/11320?org_id=785
2013	3	-1	ALL TEAMS	789	Williams	http://stats.ncaa.org/team/index/11320?org_id=789
2013	3	-1	ALL TEAMS	1461	Wilmington (OH)	http://stats.ncaa.org/team/index/11320?org_id=1461
2013	3	-1	ALL TEAMS	8911	Wis. Lutheran	http://stats.ncaa.org/team/index/11320?org_id=8911
2013	3	-1	ALL TEAMS	795	Wis.-La Crosse	http://stats.ncaa.org/team/index/11320?org_id=795
2013	3	-1	ALL TEAMS	798	Wis.-Oshkosh	http://stats.ncaa.org/team/index/11320?org_id=798
2013	3	-1	ALL TEAMS	800	Wis.-Platteville	http://stats.ncaa.org/team/index/11320?org_id=800
2013	3	-1	ALL TEAMS	801	Wis.-River Falls	http://stats.ncaa.org/team/index/11320?org_id=801
2013	3	-1	ALL TEAMS	802	Wis.-Stevens Point	http://stats.ncaa.org/team/index/11320?org_id=802
2013	3	-1	ALL TEAMS	803	Wis.-Stout	http://stats.ncaa.org/team/index/11320?org_id=803
2013	3	-1	ALL TEAMS	804	Wis.-Superior	http://stats.ncaa.org/team/index/11320?org_id=804
2013	3	-1	ALL TEAMS	805	Wis.-Whitewater	http://stats.ncaa.org/team/index/11320?org_id=805
2013	3	-1	ALL TEAMS	806	Wittenberg	http://stats.ncaa.org/team/index/11320?org_id=806
2013	3	-1	ALL TEAMS	787	Wm. Paterson	http://stats.ncaa.org/team/index/11320?org_id=787
2013	3	-1	ALL TEAMS	807	Wooster	http://stats.ncaa.org/team/index/11320?org_id=807
2013	3	-1	ALL TEAMS	809	Worcester St.	http://stats.ncaa.org/team/index/11320?org_id=809
2013	3	-1	ALL TEAMS	814	Yeshiva	http://stats.ncaa.org/team/index/11320?org_id=814
2013	3	-1	ALL TEAMS	815	York (PA)	http://stats.ncaa.org/team/index/11320?org_id=815
2013	3	30022.0	Allegheny Mountain CC	1059	D'Youville	http://stats.ncaa.org/team/index/11320?org_id=1059
2013	3	30022.0	Allegheny Mountain CC	8398	Hilbert	http://stats.ncaa.org/team/index/11320?org_id=8398
2013	3	30022.0	Allegheny Mountain CC	1163	La Roche	http://stats.ncaa.org/team/index/11320?org_id=1163
2013	3	30022.0	Allegheny Mountain CC	23725	Medaille	http://stats.ncaa.org/team/index/11320?org_id=23725
2013	3	30022.0	Allegheny Mountain CC	30036	Mount Aloysius	http://stats.ncaa.org/team/index/11320?org_id=30036
2013	3	30022.0	Allegheny Mountain CC	25719	Penn St.-Altoona	http://stats.ncaa.org/team/index/11320?org_id=25719
2013	3	30022.0	Allegheny Mountain CC	538	Penn St.-Behrend	http://stats.ncaa.org/team/index/11320?org_id=538
2013	3	30022.0	Allegheny Mountain CC	1315	Pitt.-Bradford	http://stats.ncaa.org/team/index/11320?org_id=1315
2013	3	30022.0	Allegheny Mountain CC	11839	Pitt.-Greensburg	http://stats.ncaa.org/team/index/11320?org_id=11839
2013	3	14825.0	American Southwest	125	Centenary (LA)	http://stats.ncaa.org/team/index/11320?org_id=125
2013	3	14825.0	American Southwest	24400	Concordia (TX)	http://stats.ncaa.org/team/index/11320?org_id=24400
2013	3	14825.0	American Southwest	1062	East Tex. Baptist	http://stats.ncaa.org/team/index/11320?org_id=1062
2013	3	14825.0	American Southwest	271	Hardin-Simmons	http://stats.ncaa.org/team/index/11320?org_id=271
2013	3	14825.0	American Southwest	2741	Howard Payne	http://stats.ncaa.org/team/index/11320?org_id=2741
2013	3	14825.0	American Southwest	8490	LeTourneau	http://stats.ncaa.org/team/index/11320?org_id=8490
2013	3	14825.0	American Southwest	1182	Louisiana Col.	http://stats.ncaa.org/team/index/11320?org_id=1182
2013	3	14825.0	American Southwest	1203	Mary Hardin-Baylor	http://stats.ncaa.org/team/index/11320?org_id=1203
2013	3	14825.0	American Southwest	429	Mississippi Col.	http://stats.ncaa.org/team/index/11320?org_id=429
2013	3	14825.0	American Southwest	23008	Ozarks (AR)	http://stats.ncaa.org/team/index/11320?org_id=23008
2013	3	14825.0	American Southwest	1355	Schreiner	http://stats.ncaa.org/team/index/11320?org_id=1355
2013	3	14825.0	American Southwest	1390	Sul Ross St.	http://stats.ncaa.org/team/index/11320?org_id=1390
2013	3	14825.0	American Southwest	1400	Texas Lutheran	http://stats.ncaa.org/team/index/11320?org_id=1400
2013	3	14825.0	American Southwest	23121	Texas-Dallas	http://stats.ncaa.org/team/index/11320?org_id=23121
2013	3	14825.0	American Southwest	30028	Texas-Tyler	http://stats.ncaa.org/team/index/11320?org_id=30028
2013	3	15810.0	CAC	243	Frostburg St.	http://stats.ncaa.org/team/index/11320?org_id=243
2013	3	15810.0	CAC	390	Mary Washington	http://stats.ncaa.org/team/index/11320?org_id=390
2013	3	15810.0	CAC	622	Salisbury	http://stats.ncaa.org/team/index/11320?org_id=622
2013	3	15810.0	CAC	611	St. Mary's (MD)	http://stats.ncaa.org/team/index/11320?org_id=611
2013	3	15810.0	CAC	763	Wesley	http://stats.ncaa.org/team/index/11320?org_id=763
2013	3	15810.0	CAC	815	York (PA)	http://stats.ncaa.org/team/index/11320?org_id=815
2013	3	839.0	CCC	170	Curry	http://stats.ncaa.org/team/index/11320?org_id=170
2013	3	839.0	CCC	1064	Eastern Nazarene	http://stats.ncaa.org/team/index/11320?org_id=1064
2013	3	839.0	CCC	8981	Endicott	http://stats.ncaa.org/team/index/11320?org_id=8981
2013	3	839.0	CCC	1099	Gordon	http://stats.ncaa.org/team/index/11320?org_id=1099
2013	3	839.0	CCC	484	Nichols	http://stats.ncaa.org/team/index/11320?org_id=484
2013	3	839.0	CCC	583	Roger Williams	http://stats.ncaa.org/team/index/11320?org_id=583
2013	3	839.0	CCC	623	Salve Regina	http://stats.ncaa.org/team/index/11320?org_id=623
2013	3	839.0	CCC	762	Wentworth	http://stats.ncaa.org/team/index/11320?org_id=762
2013	3	839.0	CCC	775	Western New Eng.	http://stats.ncaa.org/team/index/11320?org_id=775
