game_id	"	"	inning_id	"	"	event_id	"	"	team_text	"	"	score	"	"	opponent_text
3314375	#	7	#	81	#	MORONEY pinch hit for McLENDON.	#		#	
3314375	#	7	#	82	#	MORONEY flied out to cf.	#		#	
3314375	#	7	#	83	#	STEIN fouled out to c.	#		#	
3314375	#	7	#	84	#		#		#	Wiseman singled to center field.
3314375	#	7	#	85	#		#		#	Norwood doubled to left field; Wiseman advanced to third.
3314375	#	7	#	86	#		#		#	VINSON to p for SCHLOTTMANN.
3314375	#	7	#	87	#		#	5-7	#	Delay flied out to cf, SF, RBI; Norwood advanced to third; Wiseman scored.
3314375	#	7	#	88	#		#	5-8	#	Swanson flied out to lf, SF, RBI; Norwood scored.
3314375	#	7	#	89	#		#		#	Turner singled to left field.
3314375	#	7	#	90	#		#		#	RAY, C. to p for VINSON.
3314375	#	7	#	91	#		#		#	Reynolds grounded out to 2b.
3314375	#	7	#	92	#	R: 0 H: 0 E: 0 LOB: 0	#	5-8	#	R: 2 H: 3 E: 0 LOB: 1
3314375	#	8	#	93	#	STATUM pinch hit for GIDEON.	#		#	
3314375	#	8	#	94	#	STATUM grounded out to p.	#		#	
3314375	#	8	#	95	#	BRATSEN grounded out to 3b.	#		#	
3314375	#	8	#	96	#	ALLEMAND out at first 2b to p.	#		#	
3314375	#	8	#	97	#	R: 0 H: 0 E: 0 LOB: 0	#	5-8	#	
3300438	#	0	#	0	#	Seth Heck flied out to rf (1-1).	#		#	
3300438	#	0	#	1	#	Alex Detz walked (3-2).	#		#	
3300438	#	0	#	2	#	Wes Rea struck out swinging (0-2).	#		#	
3300438	#	0	#	3	#	Brett Pirtle reached on a fielder's choice (2-2); Alex Detz out at second ss to 2b.	#		#	
3300438	#	0	#	4	#		#		#	McMullen walked (3-1).
3300438	#	0	#	5	#		#		#	McMullen out at first p to 1b, picked off.
3300438	#	0	#	6	#		#		#	Laird walked (3-1).
3300438	#	0	#	7	#		#		#	Bregman popped up to p, bunt (0-0).
3300438	#	0	#	8	#		#		#	Laird stole second.
3300438	#	0	#	9	#		#		#	Scivicque walked (3-1).
3300438	#	0	#	10	#		#	0-1	#	Moore singled to left field, RBI (0-0); Scivicque advanced to second; Laird scored.
3300438	#	0	#	11	#		#	0-2	#	Hale singled to center field, RBI (0-0); Moore advanced to second, out at third cf to 3b; Scivicque scored.
3300438	#	0	#	12	#	R: 0 H: 0 E: 0 LOB: 1	#	0-2	#	R: 2 H: 2 E: 0 LOB: 1
3300438	#	1	#	13	#	D. Armstrong grounded out to 3b (0-1).	#		#	
3300438	#	1	#	14	#	D. Henderson struck out swinging (0-2).	#		#	
3300438	#	1	#	15	#	J. Vickerson singled, bunt (0-0).	#		#	
3300438	#	1	#	16	#	G. Collins hit by pitch (1-1); J. Vickerson advanced to second.	#		#	
3300438	#	1	#	17	#	Z. Randolph singled to third base (0-1); G. Collins advanced to second; J. Vickerson advanced to third.	#		#	
3300438	#	1	#	18	#	Seth Heck lined out to 1b (1-1).	#		#	
3300438	#	1	#	19	#		#		#	Fraley grounded out to 2b (1-2).
3300438	#	1	#	20	#		#		#	Ibarra singled to third base (2-2).
3300438	#	1	#	21	#		#		#	Stevenson reached on a fielder's choice (0-0); Ibarra advanced to second on a throwing error by ss.
3300438	#	1	#	22	#		#		#	McMullen singled to left field (1-2); Stevenson advanced to second; Ibarra advanced to third.
3300438	#	1	#	23	#		#	0-4	#	Laird doubled down the lf line, 2 RBI (1-1); McMullen advanced to third; Stevenson scored; Ibarra scored, unearned.
