year	year_id	team_id	team_name	game_date	game_string	opponent_id	opponent_name	opponent_url	neutral_site	neutral_location	home_game	score_string	team_won	score	team_score	opponent_score	is_final	innings	game_id	game_url
2015	12080	350	LeMoyne-Owen	01/31/2015	@ Christian Bros.	1015	Christian Bros.		false		false	L 4 - 7 (7)	false	4 - 7	4	7	true	7	3735268	
2015	12080	350	LeMoyne-Owen	01/31/2015	@ Christian Bros.	1015	Christian Bros.		false		false	L 0 - 7 (6)	false	0 - 7	0	7	true	6	3735267	
2015	12080	350	LeMoyne-Owen	02/07/2015	@ Lee	30013	Lee		false		false	L 1 - 4 (7)	false	1 - 4	1	4	true	7	3776284	
2015	12080	350	LeMoyne-Owen	02/07/2015	@ Lee	30013	Lee		false		false	L 0 - 8 (7)	false	0 - 8	0	8	true	7	3766746	
2015	12080	350	LeMoyne-Owen	02/08/2015	@ Lee	30013	Lee		false		false	L 4 - 8 (9)	false	4 - 8	4	8	true	9	3770164	
2015	12080	350	LeMoyne-Owen	02/10/2015	Mississippi Col.	429	Mississippi Col.		false		true	L 1 - 21 (7)	false	1 - 21	1	21	true	7	3776424	
2015	12080	350	LeMoyne-Owen	02/10/2015	Mississippi Col.	429	Mississippi Col.		false		true	L 0 - 7 (7)	false	0 - 7	0	7	true	7	3779264	
2015	12080	350	LeMoyne-Owen	02/11/2015	@ North Ala.	487	North Ala.		false		false	L 1 - 8 (7)	false	1 - 8	1	8	true	7	3779284	
2015	12080	350	LeMoyne-Owen	02/11/2015	@ North Ala.	487	North Ala.		false		false	L 2 - 23 (7)	false	2 - 23	2	23	true	7	3777304	
2015	12080	350	LeMoyne-Owen	03/15/2015	Kentucky St.	332	Kentucky St.		false		true	W 2 - 1 (7)	true	2 - 1	2	1	true	7	3821188	
2015	12080	350	LeMoyne-Owen	03/15/2015	Kentucky St.	332	Kentucky St.		false		true	L 5 - 7 (7)	false	5 - 7	5	7	true	7	3821930	
