year	year_id	team_id	team_name	game_date	game_string	opponent_id	opponent_name	opponent_url	neutral_site	neutral_location	home_game	score_string	team_won	score	team_score	opponent_score	is_final	innings	game_id	game_url
2016	12360	30093	AUM	02/11/2016	@ Embry-Riddle (FL)		Embry-Riddle (FL)		false		false	-								
2016	12360	30093	AUM	03/02/2016	Columbus St.		Columbus St.		false		true	-								
2016	12360	30093	AUM	03/29/2016	@ West Ala.		West Ala.		false		false	-								
2016	12360	30093	AUM	03/30/2016	@ Columbus St.		Columbus St.		false		false	-								
2016	12360	30093	AUM	04/26/2016	West Ala.		West Ala.		false		true	-								
2016	12360	1334	St. Edward's	01/30/2016	@ Harding		Harding		false		false	-								
2016	12360	1334	St. Edward's	01/30/2016	@ Harding		Harding		false		false	-								
2016	12360	1334	St. Edward's	01/31/2016	@ Harding		Harding		false		false	-								
2016	12360	1334	St. Edward's	02/05/2016	Southwestern Okla.@Canyon, TX		Southwestern Okla.Canyon, TX		false		false	-								
2016	12360	1334	St. Edward's	02/06/2016	@ West Tex. A&M		West Tex. A&M		false		false	-								
2016	12360	1334	St. Edward's	02/07/2016	Colorado Mines@Canyon, TX		Colorado MinesCanyon, TX		false		false	-								
2016	12360	1334	St. Edward's	02/12/2016	Houston-Victoria		Houston-Victoria		false		true	-								
2016	12360	1334	St. Edward's	02/12/2016	Houston-Victoria		Houston-Victoria		false		true	-								
2016	12360	1334	St. Edward's	02/13/2016	@ Houston-Victoria		Houston-Victoria		false		false	-								
2016	12360	1334	St. Edward's	02/19/2016	Drury		Drury		false		true	-								
2016	12360	1334	St. Edward's	02/20/2016	Drury		Drury		false		true	-								
2016	12360	1334	St. Edward's	02/20/2016	Drury		Drury		false		true	-								
2016	12360	1334	St. Edward's	02/21/2016	Drury		Drury		false		true	-								
2016	12360	1334	St. Edward's	02/26/2016	LIU Post		LIU Post		false		true	-								
2016	12360	1334	St. Edward's	02/27/2016	LIU Post		LIU Post		false		true	-								
2016	12360	1334	St. Edward's	02/27/2016	LIU Post		LIU Post		false		true	-								
2016	12360	1334	St. Edward's	02/28/2016	LIU Post		LIU Post		false		true	-								
2016	12360	1334	St. Edward's	03/05/2016	USciences		USciences		false		true	-								
2016	12360	1334	St. Edward's	03/05/2016	USciences		USciences		false		true	-								
2016	12360	1334	St. Edward's	03/06/2016	USciences		USciences		false		true	-								
2016	12360	1334	St. Edward's	03/06/2016	USciences		USciences		false		true	-								
2016	12360	1334	St. Edward's	03/11/2016	@ Okla. Christian		Okla. Christian		false		false	-								
2016	12360	1334	St. Edward's	03/11/2016	@ Okla. Christian		Okla. Christian		false		false	-								
2016	12360	1334	St. Edward's	03/12/2016	@ Okla. Christian		Okla. Christian		false		false	-								
2016	12360	1334	St. Edward's	03/18/2016	@ Tex. Permian Basin		Tex. Permian Basin		false		false	-								
2016	12360	1334	St. Edward's	03/18/2016	@ Tex. Permian Basin		Tex. Permian Basin		false		false	-								
2016	12360	1334	St. Edward's	03/19/2016	@ Tex. Permian Basin		Tex. Permian Basin		false		false	-								
2016	12360	1334	St. Edward's	03/24/2016	Rogers St.		Rogers St.		false		true	-								
2016	12360	1334	St. Edward's	03/24/2016	Rogers St.		Rogers St.		false		true	-								
2016	12360	1334	St. Edward's	03/25/2016	Rogers St.		Rogers St.		false		true	-								
2016	12360	1334	St. Edward's	04/01/2016	Lubbock Christian		Lubbock Christian		false		true	-								
2016	12360	1334	St. Edward's	04/01/2016	Lubbock Christian		Lubbock Christian		false		true	-								
2016	12360	1334	St. Edward's	04/02/2016	Lubbock Christian		Lubbock Christian		false		true	-								
2016	12360	1334	St. Edward's	04/05/2016	@ Tex. A&M-Kingsville		Tex. A&M-Kingsville		false		false	-								
2016	12360	1334	St. Edward's	04/08/2016	@ Ark.-Fort Smith		Ark.-Fort Smith		false		false	-								
2016	12360	1334	St. Edward's	04/08/2016	@ Ark.-Fort Smith		Ark.-Fort Smith		false		false	-								
2016	12360	1334	St. Edward's	04/09/2016	@ Ark.-Fort Smith		Ark.-Fort Smith		false		false	-								
2016	12360	1334	St. Edward's	04/15/2016	St. Mary's (TX)		St. Mary's (TX)		false		true	-								
2016	12360	1334	St. Edward's	04/15/2016	St. Mary's (TX)		St. Mary's (TX)		false		true	-								
2016	12360	1334	St. Edward's	04/16/2016	St. Mary's (TX)		St. Mary's (TX)		false		true	-								
2016	12360	1334	St. Edward's	04/19/2016	Tex. A&M-Kingsville		Tex. A&M-Kingsville		false		true	-								
2016	12360	1334	St. Edward's	04/22/2016	@ Okla. Panhandle		Okla. Panhandle		false		false	-								
2016	12360	1334	St. Edward's	04/22/2016	@ Okla. Panhandle		Okla. Panhandle		false		false	-								
2016	12360	1334	St. Edward's	04/23/2016	@ Okla. Panhandle		Okla. Panhandle		false		false	-								
2016	12360	1334	St. Edward's	04/29/2016	@ Tex. A&M Int'l		Tex. A&M Int'l		false		false	-								
2016	12360	1334	St. Edward's	04/29/2016	@ Tex. A&M Int'l		Tex. A&M Int'l		false		false	-								
2016	12360	1334	St. Edward's	04/30/2016	@ Tex. A&M Int'l		Tex. A&M Int'l		false		false	-								
2016	12360	1334	St. Edward's	05/06/2016	Newman		Newman		false		true	-								
2016	12360	1334	St. Edward's	05/06/2016	Newman		Newman		false		true	-								
2016	12360	1334	St. Edward's	05/07/2016	Newman		Newman		false		true	-								
2016	12360	985	Bluefield St.	02/06/2016	@ Voorhees		Voorhees		false		false	-								
2016	12360	985	Bluefield St.	02/07/2016	@ Voorhees		Voorhees		false		false	-								
2016	12360	985	Bluefield St.	02/13/2016	@ Paine		Paine		false		false	-								
2016	12360	985	Bluefield St.	02/13/2016	@ Paine		Paine		false		false	-								
2016	12360	985	Bluefield St.	02/14/2016	@ Paine		Paine		false		false	-								
2016	12360	985	Bluefield St.	02/17/2016	@ Tusculum		Tusculum		false		false	-								
2016	12360	985	Bluefield St.	02/20/2016	@ Guilford		Guilford		false		false	-								
2016	12360	985	Bluefield St.	02/23/2016	@ Coker		Coker		false		false	-								
2016	12360	985	Bluefield St.	02/27/2016	@ Clark Atlanta		Clark Atlanta		false		false	-								
2016	12360	985	Bluefield St.	02/27/2016	@ Clark Atlanta		Clark Atlanta		false		false	-								
2016	12360	985	Bluefield St.	02/28/2016	@ Morehouse		Morehouse		false		false	-								
2016	12360	985	Bluefield St.	02/28/2016	@ Morehouse		Morehouse		false		false	-								
